step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.138259279398191,0,0.0,0.9441739661041925,0,0.0
10.0,0,0.0,0.0,12.429393394482663,0,0.0,0.959103660137413,0,0.0
15.0,0,0.0,0.0,11.114035672674357,0,0.0,0.8408079527746376,0,0.0
20.0,0,0.0,0.0,10.020899543697274,0,0.0,0.7730583152620271,0,0.0
25.0,3,7.0,0.35,10.903806114936492,3,7.0,0.70376497106075,3,7.0
30.0,3,22.0,1.0476190476190477,10.485544562869496,3,22.0,0.6617824628508312,3,22.0
35.0,1,3.0,0.13043478260869565,8.142227935553036,1,16.0,0.5224601431356215,1,16.0
40.0,4,21.0,0.9545454545454546,8.843452104710984,4,21.0,0.5716640056828922,4,21.0
45.0,8,53.0,2.0384615384615383,7.708826576685672,8,53.0,0.3898007406452586,8,53.0
50.0,12,103.0,3.9615384615384617,6.443319510030288,12,103.0,0.3008590653172151,12,103.0
55.0,14,168.0,6.461538461538462,4.6787207516479326,14,168.0,0.26462763764470454,14,168.0
60.0,17,247.0,8.517241379310345,3.6076424493776513,17,247.0,0.21499385999524387,17,247.0
65.0,23,349.0,11.633333333333333,2.118590353165547,23,349.0,0.1222125155075474,23,349.0
70.0,27,475.0,14.393939393939394,2.410397564775736,27,475.0,0.1494268428182546,27,475.0
75.0,28,611.0,16.97222222222222,2.344020719066489,28,611.0,0.14901470863290547,28,611.0
80.0,31,758.0,19.435897435897434,1.9627083201039466,31,758.0,0.07600770948059657,31,758.0
85.0,34,922.0,20.954545454545453,1.8289524515319355,34,922.0,0.09414136794697228,34,922.0
90.0,38,1109.0,25.790697674418606,1.4673432112553397,38,1109.0,0.06962241007769118,38,1109.0
95.0,38,1299.0,29.522727272727273,1.7412642495003041,38,1299.0,0.07046784125720115,38,1299.0
100.0,38,1489.0,35.45238095238095,1.270404978101863,38,1489.0,0.02464384531945906,38,1489.0
105.0,38,1679.0,40.951219512195124,0.9774054049767991,38,1679.0,0.0,38,1679.0
110.0,32,1428.0,35.7,1.3012753011379266,32,1710.0,0.021614373778058964,32,1710.0
115.0,22,934.0,23.35,3.4893242683813517,22,1492.0,0.10085411281645415,22,1492.0
120.0,13,529.0,13.225,6.0415711175938025,13,1255.0,0.2162019367874847,13,1255.0
125.0,6,163.0,4.527777777777778,5.413447798631643,6,1296.0,0.26172438147635974,6,1296.0
130.0,9,33.0,1.03125,4.884027072049775,9,1329.0,0.24390061703939325,9,1329.0
135.0,15,94.0,2.9375,2.4262607074476663,15,1390.0,0.14090739942965774,15,1390.0
140.0,22,188.0,5.371428571428571,1.298539952043651,22,1484.0,0.06788721530283734,22,1484.0
145.0,27,314.0,8.263157894736842,0.8506563297375521,27,1610.0,0.03437592026182739,27,1610.0
150.0,35,476.0,11.609756097560975,0.9583116269968865,35,1772.0,0.07013806927142878,35,1772.0
155.0,38,663.0,15.785714285714286,1.278900509968462,38,1959.0,0.06827492523727419,38,1959.0
160.0,32,644.0,14.976744186046512,1.6409135075789383,32,1948.0,0.08460404198121681,32,1948.0
165.0,24,475.0,10.795454545454545,3.4636714146035814,24,1724.0,0.12541893512877086,24,1724.0
170.0,17,347.0,7.543478260869565,5.885298231018703,17,1312.0,0.2586454779501356,17,1312.0
175.0,6,103.0,2.395348837209302,5.695379360753201,6,1343.0,0.30652002266204226,6,1343.0
180.0,9,35.0,0.875,5.769290230882645,9,1368.0,0.26998084133507266,9,1368.0
185.0,14,93.0,2.268292682926829,4.81666182051634,14,1426.0,0.19221379458315455,14,1426.0
190.0,21,184.0,4.380952380952381,2.933484024426556,21,1517.0,0.10724743410452123,21,1517.0
195.0,22,187.0,4.4523809523809526,2.1938506077067266,22,1426.0,0.13114804482031298,22,1426.0
200.0,19,148.0,3.217391304347826,3.9274164089711094,19,1152.0,0.1904352097803249,19,1152.0
205.0,15,106.0,2.3043478260869565,5.140793118535696,15,727.0,0.2002314451042243,15,727.0
210.0,7,47.0,1.119047619047619,4.726279707520306,7,762.0,0.21194876247867533,7,762.0
215.0,8,28.0,0.717948717948718,5.5104298683617365,8,787.0,0.22038129543794102,8,787.0
