step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.585388849009927,0,0.0,0.9637931066310017,0,0.0
10.0,0,0.0,0.0,12.184512807266268,0,0.0,0.9686063558270901,0,0.0
15.0,0,0.0,0.0,11.099304687575376,0,0.0,0.8302849005882951,0,0.0
20.0,4,10.0,0.7142857142857143,8.634439139720856,4,10.0,0.6205919412203291,4,10.0
25.0,6,34.0,1.8888888888888888,6.453010697563724,6,34.0,0.4520548753567501,6,34.0
30.0,11,79.0,4.157894736842105,3.9503801777921366,11,79.0,0.20959331749480867,11,79.0
35.0,15,143.0,7.15,2.7213860745186618,15,143.0,0.15305912106430464,15,143.0
40.0,16,223.0,9.695652173913043,2.9069489477551387,16,223.0,0.1789255328430492,16,223.0
45.0,19,314.0,11.214285714285714,3.4247060142899985,19,314.0,0.23038899308973035,19,314.0
50.0,21,417.0,12.636363636363637,3.4886367330832537,21,417.0,0.2505776852045537,21,417.0
55.0,26,536.0,14.486486486486486,3.136849641591378,26,536.0,0.2040243033998225,26,536.0
60.0,29,674.0,15.674418604651162,3.0945011281482606,29,674.0,0.12729470534567258,29,674.0
65.0,34,833.0,18.108695652173914,2.4560442632772443,34,833.0,0.09664163047412117,34,833.0
70.0,38,1018.0,22.622222222222224,1.9445655267281874,38,1018.0,0.06925401981153054,38,1018.0
75.0,38,1208.0,26.26086956521739,2.201002593164344,38,1208.0,0.09249083944236397,38,1208.0
80.0,38,1398.0,29.74468085106383,2.3715702559578355,38,1398.0,0.11042635362397037,38,1398.0
85.0,32,1194.0,26.533333333333335,2.390450653107883,32,1444.0,0.14826853871135898,32,1444.0
90.0,25,762.0,17.318181818181817,3.055910218427231,25,1331.0,0.12603941926521234,25,1331.0
95.0,20,501.0,11.133333333333333,4.5427600458373165,20,1087.0,0.14634057816230728,20,1087.0
100.0,6,138.0,3.1363636363636362,5.28961315945519,6,1129.0,0.25035792235269066,6,1129.0
105.0,7,25.0,0.6578947368421053,5.458411671597596,7,1128.0,0.24735190108209984,7,1128.0
110.0,14,79.0,2.0256410256410255,4.029042468049037,14,1182.0,0.1499831656793584,14,1182.0
115.0,14,84.0,2.0,3.414921811895365,14,1122.0,0.15502362130089567,14,1122.0
120.0,11,49.0,1.1951219512195121,3.938606167855836,11,929.0,0.1996401367922842,11,929.0
125.0,12,42.0,0.9545454545454546,5.162606650237772,12,659.0,0.20283329027365093,12,659.0
130.0,8,25.0,0.5952380952380952,5.303915009136675,8,698.0,0.2557984772518439,8,698.0
135.0,7,25.0,0.6756756756756757,5.464516056415756,7,725.0,0.22103732383855815,7,725.0
140.0,14,79.0,2.0256410256410255,4.34063498431335,14,779.0,0.18707244845617246,14,779.0
145.0,14,84.0,2.1,3.6397062856113145,14,730.0,0.2075661752253093,14,730.0
150.0,11,48.0,1.1162790697674418,4.0059053587542275,11,554.0,0.1814843525825536,11,554.0
155.0,13,47.0,1.0681818181818181,4.706250540316179,13,349.0,0.15768474621608095,13,349.0
160.0,6,19.0,0.4523809523809524,5.1159222557772654,6,332.0,0.22946110714765278,6,332.0
165.0,6,18.0,0.4864864864864865,5.472647799482118,6,346.0,0.21742812144136256,6,346.0
170.0,13,74.0,2.0,4.268985918217411,13,402.0,0.17940831386894515,13,402.0
175.0,14,80.0,2.051282051282051,3.0167441520083793,14,349.0,0.17453952361418223,14,349.0
180.0,11,52.0,1.2682926829268293,3.6201598160876003,11,306.0,0.17747832319526616,11,306.0
185.0,9,40.0,0.9090909090909091,5.42360906203998,9,238.0,0.23342808043783822,9,238.0
190.0,6,14.0,0.35,5.078225875043716,6,234.0,0.2418409132193566,6,234.0
195.0,6,26.0,0.6842105263157895,5.329100320067125,6,262.0,0.2261590448492725,6,262.0
200.0,12,72.0,1.8,4.471195358118073,12,308.0,0.21637057258688958,12,308.0
205.0,18,150.0,3.75,2.9291062961266428,18,386.0,0.1434662714691055,18,386.0
210.0,25,263.0,6.414634146341464,1.8191596673895942,25,499.0,0.0919770336804582,25,499.0
215.0,33,411.0,9.55813953488372,1.8276747937674147,33,647.0,0.07598269608364087,33,647.0
220.0,38,589.0,13.386363636363637,1.7174243603877206,38,825.0,0.09269568012431503,38,825.0
225.0,32,573.0,13.325581395348838,1.843342029916293,32,896.0,0.08059990138854678,32,896.0
230.0,24,425.0,9.883720930232558,3.385651653968313,24,849.0,0.12464869294830873,24,849.0
235.0,16,286.0,6.651162790697675,5.520829256952168,16,702.0,0.18690792378113866,16,702.0
240.0,6,92.0,2.3,5.536773666927317,6,732.0,0.25586115181068475,6,732.0
245.0,7,30.0,0.8333333333333334,5.388923593107588,7,759.0,0.21471403698457278,7,759.0
250.0,13,85.0,2.2972972972972974,4.022333553325564,13,814.0,0.16589794075692446,13,814.0
255.0,14,84.0,2.210526315789474,2.6886323045533986,14,783.0,0.134518751281939,14,783.0
260.0,8,43.0,1.075,3.96730544368136,8,664.0,0.1992379998345382,8,664.0
265.0,9,29.0,0.6744186046511628,5.378283902578954,9,471.0,0.21538305482165876,9,471.0
270.0,8,37.0,0.8604651162790697,6.979134487731907,8,345.0,0.34751119447960543,8,345.0
275.0,2,3.0,0.07692307692307693,7.262698482704573,2,313.0,0.42721843344875565,2,313.0
280.0,6,23.0,0.5897435897435898,6.751673443053751,6,329.0,0.36096120973933515,6,329.0
285.0,12,74.0,1.8974358974358974,5.1507067433001525,12,380.0,0.23523762525574715,12,380.0
290.0,13,70.0,1.75,3.592486875729425,13,357.0,0.1638535530440313,13,357.0
295.0,11,41.0,1.0512820512820513,3.531835082587555,11,211.0,0.1235454245788428,11,211.0
300.0,10,37.0,0.8809523809523809,5.635009799984924,10,162.0,0.20084396979253588,10,162.0
