step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.31676565994081,0,0.0,0.9592884331647095,0,0.0
10.0,0,0.0,0.0,13.157011213986994,0,0.0,0.9420805165698194,0,0.0
15.0,1,1.0,0.08333333333333333,10.136527019735539,1,1.0,0.7191325897944822,1,1.0
20.0,5,15.0,1.0,7.893880057490102,5,15.0,0.5039121569999279,5,15.0
25.0,8,46.0,2.5555555555555554,5.000842283044141,8,46.0,0.3066933869038685,8,46.0
30.0,12,98.0,4.083333333333333,5.732360611774433,12,98.0,0.4084000413352314,12,98.0
35.0,15,167.0,6.185185185185185,4.143297986852053,15,167.0,0.2774540698647662,15,167.0
40.0,19,256.0,8.0,3.7110454823429966,19,256.0,0.20510438953715412,19,256.0
45.0,25,369.0,10.25,3.233422976285281,25,369.0,0.16408946563224336,25,369.0
50.0,28,501.0,12.846153846153847,2.6943186344070447,28,501.0,0.12546698105297513,28,501.0
55.0,33,653.0,16.325,1.7337002817896678,33,653.0,0.039791123756978825,33,653.0
60.0,35,824.0,21.128205128205128,1.3769729098516486,35,824.0,0.026400659061741792,35,824.0
65.0,36,1000.0,25.641025641025642,1.0101854347975774,36,1000.0,0.026838449380978867,36,1000.0
70.0,36,1180.0,28.095238095238095,1.6585482184886866,36,1180.0,0.07312636403693008,36,1180.0
75.0,38,1366.0,31.045454545454547,1.91141251762469,38,1366.0,0.11408683726955665,38,1366.0
80.0,38,1556.0,35.36363636363637,1.86226984488763,38,1556.0,0.11265715040571975,38,1556.0
85.0,32,1343.0,30.522727272727273,1.920200668782158,32,1601.0,0.08713930638715707,32,1601.0
90.0,24,895.0,20.34090909090909,3.492733811897121,24,1479.0,0.11888705071229265,24,1479.0
95.0,15,523.0,11.886363636363637,5.077388404250202,15,1210.0,0.1826403637936176,15,1210.0
100.0,7,181.0,4.414634146341464,5.478017870176483,7,1246.0,0.24592027145641446,7,1246.0
105.0,8,29.0,0.8055555555555556,5.1657216340174115,8,1272.0,0.22128421855349065,8,1272.0
110.0,14,83.0,2.075,4.5630685928707315,14,1328.0,0.23622811022919776,14,1328.0
115.0,21,173.0,4.219512195121951,3.0791764193060933,21,1418.0,0.17233791540086543,21,1418.0
120.0,28,298.0,6.930232558139535,2.5066208327490145,28,1543.0,0.11590829280429168,28,1543.0
125.0,28,307.0,6.822222222222222,2.157019079342017,28,1526.0,0.058827638795261934,28,1526.0
130.0,24,244.0,5.545454545454546,3.1425264223893437,24,1355.0,0.09813272293410315,24,1355.0
135.0,17,200.0,4.545454545454546,5.40675614301019,17,1027.0,0.2171712250549467,17,1027.0
140.0,7,60.0,1.3636363636363635,6.049887468284871,7,1057.0,0.3128969911449452,7,1057.0
145.0,9,32.0,0.8205128205128205,6.08368714909727,9,1083.0,0.2920733544158205,9,1083.0
150.0,14,91.0,2.3947368421052633,4.267281208580347,14,1143.0,0.17173398705269233,14,1143.0
155.0,15,92.0,2.3,3.061580627375823,15,1057.0,0.1284232255887572,15,1057.0
160.0,13,63.0,1.575,3.7370959146406406,13,808.0,0.12796461678395854,13,808.0
165.0,10,39.0,0.975,5.224731581444532,10,432.0,0.1876689867664711,10,432.0
170.0,7,24.0,0.6486486486486487,5.195426501161329,7,467.0,0.20172910962817628,7,467.0
175.0,8,34.0,1.0303030303030303,4.483155830214915,8,501.0,0.18641435040065082,8,501.0
180.0,13,87.0,2.4857142857142858,3.4590839885518787,13,555.0,0.1864893181297816,13,555.0
185.0,13,81.0,2.189189189189189,2.3143084787226997,13,484.0,0.15838897774818333,13,484.0
190.0,11,46.0,1.1794871794871795,3.4578609517283483,11,357.0,0.14401430888246214,11,357.0
195.0,12,42.0,1.024390243902439,4.934363221399621,12,243.0,0.17806746600010934,12,243.0
200.0,6,17.0,0.4358974358974359,4.888027441012609,6,272.0,0.19634264963039108,6,272.0
205.0,8,29.0,0.8285714285714286,5.22332822050032,8,301.0,0.2547033499090235,8,301.0
210.0,14,87.0,2.4857142857142858,3.018205472156176,14,359.0,0.16037527165220775,14,359.0
215.0,15,91.0,2.3333333333333335,2.757132952246252,15,353.0,0.16774654356820276,15,353.0
220.0,12,58.0,1.380952380952381,3.983420005104231,12,315.0,0.18576818074470466,12,315.0
225.0,9,40.0,0.8888888888888888,5.280117853217,9,230.0,0.19433464342682588,9,230.0
230.0,6,15.0,0.3488372093023256,5.216316034663888,6,242.0,0.2433988292719722,6,242.0
235.0,6,24.0,0.6153846153846154,5.765217174201899,6,257.0,0.2598211753024334,6,257.0
240.0,12,75.0,1.9230769230769231,4.416784771511738,12,309.0,0.15672137410899775,12,309.0
245.0,16,80.0,2.0,3.091027922461933,16,315.0,0.1277073782764888,16,315.0
250.0,12,50.0,1.25,3.8342894669213634,12,276.0,0.18024773596944216,12,276.0
255.0,11,37.0,0.8809523809523809,5.759644162831868,11,202.0,0.2192179998604645,11,202.0
260.0,7,22.0,0.5789473684210527,5.148958449142637,7,235.0,0.2124132895345129,7,235.0
265.0,8,30.0,0.9090909090909091,4.543043610249773,8,266.0,0.18461938426299293,8,266.0
270.0,14,85.0,2.5,3.0174152093887394,14,321.0,0.12826897775154406,14,321.0
275.0,14,84.0,2.27027027027027,2.640120026993659,14,333.0,0.1686746716308273,14,333.0
280.0,10,44.0,1.0731707317073171,4.487619841842516,10,294.0,0.22000136881997293,10,294.0
285.0,9,31.0,0.7209302325581395,5.664824280923143,9,207.0,0.2070015563679142,9,207.0
290.0,7,17.0,0.425,5.169041706774034,7,241.0,0.21931199317811742,7,241.0
295.0,8,29.0,0.8285714285714286,5.305447236672998,8,274.0,0.2230722822762308,8,274.0
300.0,15,88.0,2.4444444444444446,3.5387247228968453,15,333.0,0.11647808254560427,15,333.0
305.0,20,179.0,5.114285714285714,1.6349660531078318,20,424.0,0.09935868989383514,20,424.0
310.0,28,299.0,7.475,1.5427308347113962,28,544.0,0.09273884974251859,28,544.0
315.0,35,458.0,10.651162790697674,1.5440094750950981,35,704.0,0.11200744231100403,35,704.0
320.0,38,644.0,14.976744186046512,1.4771942941061778,38,890.0,0.06697997573980953,38,890.0
325.0,33,629.0,14.627906976744185,1.1774434533878868,33,967.0,0.0190196240585904,33,967.0
330.0,25,471.0,10.704545454545455,3.5478177414176426,25,837.0,0.10046469372744267,25,837.0
335.0,17,351.0,7.9772727272727275,5.728877977959375,17,771.0,0.22523367820562415,17,771.0
340.0,6,101.0,2.4634146341463414,5.287806254731733,6,797.0,0.258007823958994,6,797.0
345.0,7,30.0,0.8108108108108109,5.510626850882665,7,814.0,0.2558376722447394,7,814.0
350.0,15,90.0,2.3684210526315788,3.8726635589232443,15,874.0,0.16925548690715914,15,874.0
355.0,22,186.0,4.65,2.758372347320274,22,970.0,0.12151529858847782,22,970.0
360.0,22,195.0,4.642857142857143,2.6178308108349415,22,964.0,0.1328438154869033,22,964.0
365.0,19,144.0,3.4285714285714284,3.6261730138197574,19,814.0,0.14316281008663617,19,814.0
370.0,15,110.0,2.558139534883721,4.984137699883282,15,665.0,0.16027394049287827,15,665.0
375.0,9,75.0,1.875,6.407559239994292,9,550.0,0.2980410865246302,9,550.0
380.0,2,2.0,0.05263157894736842,7.026385275973858,2,461.0,0.4334762962559701,2,461.0
385.0,7,24.0,0.6486486486486487,6.60906386793924,7,469.0,0.3502323526922422,7,469.0
390.0,12,76.0,1.9487179487179487,5.134298270507581,12,521.0,0.24076772225123227,12,521.0
395.0,19,158.0,4.051282051282051,3.3273400991098914,19,603.0,0.18164219568663842,19,603.0
400.0,25,269.0,6.113636363636363,2.717561848129639,25,714.0,0.120709541699491,25,714.0
405.0,31,408.0,8.5,2.8661206666751293,31,853.0,0.11211884165039993,31,853.0
410.0,37,579.0,12.58695652173913,2.3556157857125335,37,1025.0,0.07066569762167527,37,1025.0
