step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
420.0,13,85.0,2.7419354838709675,2.8036792412767912,13,238.0,0.15838815641445642,13,238.0
425.0,13,84.0,2.27027027027027,2.853224065478447,13,263.0,0.18809658976971405,13,263.0
430.0,10,48.0,1.170731707317073,4.714931609304994,10,233.0,0.23893867676034364,10,233.0
435.0,10,32.0,0.7272727272727273,5.384369099286688,10,167.0,0.19666634802340605,10,167.0
440.0,6,16.0,0.38095238095238093,5.396548879454976,6,204.0,0.2301770364849374,6,204.0
445.0,6,25.0,0.6578947368421053,5.920265399949535,6,230.0,0.2618767278016122,6,230.0
450.0,13,78.0,1.95,5.0765649277873655,13,283.0,0.2202810488041659,13,283.0
455.0,20,166.0,4.15,3.227738516368909,20,371.0,0.17418091025161833,20,371.0
460.0,26,283.0,6.902439024390244,1.910972666705962,26,488.0,0.04662180215670189,26,488.0
465.0,28,293.0,6.976190476190476,1.5928029363448983,28,559.0,0.029799974126430605,28,559.0
470.0,23,228.0,5.7,2.9841281812815255,23,548.0,0.09730143881377303,23,548.0
475.0,15,179.0,4.365853658536586,5.374311348583033,15,468.0,0.18647412867969854,15,468.0
480.0,7,84.0,2.210526315789474,7.0283865265175764,7,418.0,0.2921206260843451,7,418.0
485.0,0,0.0,0.0,7.629739696016197,0,360.0,0.3935584967566744,0,360.0
490.0,6,18.0,0.5806451612903226,5.722873401783506,6,378.0,0.29762072067147444,6,378.0
495.0,12,68.0,2.0606060606060606,3.433436448548859,12,428.0,0.18980659160034422,12,428.0
500.0,12,64.0,1.7777777777777777,2.9038787700911595,12,420.0,0.17757053645543716,12,420.0
505.0,10,35.0,0.8974358974358975,4.480983937744061,10,343.0,0.2166026915616925,10,343.0
510.0,7,21.0,0.5,5.8757070115324845,7,217.0,0.22992197184747526,7,217.0
515.0,4,10.0,0.2564102564102564,5.503892322000398,4,240.0,0.24642923272318243,4,240.0
520.0,8,25.0,0.7352941176470589,5.121506691020851,8,267.0,0.2187008320465247,8,267.0
525.0,14,84.0,2.27027027027027,3.9798358438183548,14,326.0,0.17811664914849873,14,326.0
530.0,13,90.0,2.3684210526315788,2.4914852535878738,13,330.0,0.14459315113896468,13,330.0
535.0,11,51.0,1.2439024390243902,3.396977433776441,11,263.0,0.1620532685303184,11,263.0
540.0,12,50.0,1.1363636363636365,5.005995283051985,12,212.0,0.21287637743843607,12,212.0
545.0,6,25.0,0.6097560975609756,5.127273740771283,6,223.0,0.23624082802662105,6,223.0
550.0,8,20.0,0.5128205128205128,5.702005388301101,8,244.0,0.23391003234154256,8,244.0
555.0,14,77.0,2.026315789473684,4.296374582508961,14,301.0,0.19282102437039647,14,301.0
560.0,13,85.0,2.236842105263158,2.2096950619627225,13,323.0,0.10611798832708003,13,323.0
565.0,15,66.0,1.65,3.5503328831951655,15,300.0,0.14475900826148305,15,300.0
570.0,13,64.0,1.4545454545454546,5.539838502920939,13,248.0,0.21262943186764557,13,248.0
575.0,6,20.0,0.5,5.42124718428703,6,269.0,0.24245867032530188,6,269.0
580.0,7,25.0,0.6756756756756757,5.625816345647538,7,297.0,0.2390547171022523,7,297.0
585.0,14,80.0,2.1052631578947367,4.390717301345384,14,353.0,0.1955557684589466,14,353.0
590.0,14,84.0,2.1538461538461537,2.5119472862712504,14,367.0,0.12265392167520134,14,367.0
595.0,14,58.0,1.4146341463414633,3.712876692542191,14,331.0,0.17262467744022542,14,331.0
600.0,12,58.0,1.3488372093023255,5.432445592587963,12,254.0,0.19382895717402526,12,254.0
605.0,7,47.0,1.175,6.941007045026166,7,214.0,0.298658401443111,7,214.0
610.0,1,1.0,0.02702702702702703,7.1940885243047,1,184.0,0.3832747533193677,1,184.0
615.0,7,24.0,0.6857142857142857,6.607041068586753,7,197.0,0.35017026161949627,7,197.0
620.0,13,78.0,2.108108108108108,5.095969927025173,13,251.0,0.2426301178998864,13,251.0
625.0,13,74.0,1.8974358974358974,3.4527088410153786,13,265.0,0.1890949797198356,13,265.0
630.0,10,37.0,0.8809523809523809,3.9403454514953276,10,224.0,0.17274588364448693,10,224.0
635.0,11,38.0,0.8444444444444444,5.520635823918277,11,164.0,0.1981972094589704,11,164.0
640.0,6,16.0,0.37209302325581395,5.6044489788585885,6,188.0,0.2844277249017654,6,188.0
645.0,7,24.0,0.5853658536585366,6.354508525991882,7,211.0,0.32302046314496685,7,211.0
650.0,12,77.0,1.925,4.938272916364874,12,264.0,0.18074643985612718,12,264.0
655.0,13,75.0,1.829268292682927,3.421396286795987,13,280.0,0.17495626553847504,13,280.0
660.0,12,45.0,1.0714285714285714,4.162395796683455,12,225.0,0.152128186110369,12,225.0
665.0,11,42.0,0.9767441860465116,5.103289454475328,11,192.0,0.1844678544782399,11,192.0
670.0,5,11.0,0.275,5.6466379064257755,5,201.0,0.24972314585006333,5,201.0
675.0,7,23.0,0.6388888888888888,5.911717360701015,7,223.0,0.25662127946359065,7,223.0
680.0,13,74.0,2.0555555555555554,4.240413957249574,13,274.0,0.1999904797997894,13,274.0
685.0,19,156.0,4.105263157894737,2.7120844198000564,19,358.0,0.15351227719934948,19,358.0
690.0,27,278.0,6.95,1.7251995260215018,27,480.0,0.0789331019193403,27,480.0
695.0,32,426.0,9.906976744186046,1.9180293870867846,32,628.0,0.09872136778886623,32,628.0
700.0,37,605.0,13.75,1.8862347597790772,37,808.0,0.09229586120892937,37,808.0
705.0,32,593.0,13.477272727272727,1.7467380117733358,32,896.0,0.08838788822222444,32,896.0
710.0,25,445.0,10.348837209302326,2.5908069443474058,25,862.0,0.09026703521980975,25,862.0
715.0,18,329.0,7.311111111111111,4.885921029973483,18,732.0,0.17917399364448455,18,732.0
720.0,7,143.0,3.3255813953488373,5.459914452238535,7,769.0,0.24055614977075487,7,769.0
725.0,7,25.0,0.6578947368421053,5.520230135563404,7,779.0,0.23058174379987018,7,779.0
730.0,12,75.0,2.0833333333333335,3.975513066582595,12,830.0,0.13423103657662344,12,830.0
735.0,12,72.0,1.894736842105263,2.872005195378761,12,802.0,0.12107088317122289,12,802.0
740.0,10,40.0,1.0256410256410255,3.909267357169443,10,679.0,0.17963807302335139,10,679.0
745.0,9,33.0,0.75,6.299540254793672,9,474.0,0.27937862006030495,9,474.0
750.0,6,18.0,0.43902439024390244,7.568084611503057,6,341.0,0.3951083688081454,6,341.0
755.0,1,2.0,0.05263157894736842,7.3306632132878855,1,307.0,0.41672614980983025,1,307.0
760.0,8,24.0,0.631578947368421,6.882637544672147,8,329.0,0.3531143243533804,8,329.0
765.0,14,79.0,2.0256410256410255,5.425111301394698,14,384.0,0.24678137186010551,14,384.0
770.0,21,167.0,4.282051282051282,3.4796567353498755,21,473.0,0.12481123284078341,21,473.0
775.0,20,169.0,4.023809523809524,2.83318719377913,20,479.0,0.13490815591466307,20,479.0
780.0,17,114.0,2.6511627906976742,4.099904336507973,17,337.0,0.1494659571982756,17,337.0
785.0,15,94.0,2.238095238095238,5.165602048021627,15,284.0,0.18178728257582177,15,284.0
790.0,8,50.0,1.2820512820512822,6.409441158570995,8,260.0,0.27392910853403546,8,260.0
795.0,0,0.0,0.0,7.017433633062073,0,224.0,0.37280646504685966,0,224.0
800.0,5,13.0,0.38235294117647056,6.8960472928397,5,233.0,0.35606613100668966,5,233.0
805.0,12,60.0,1.7142857142857142,4.72883720129529,12,280.0,0.27032710847289976,12,280.0
810.0,18,137.0,3.8055555555555554,3.129192531955761,18,357.0,0.1825721947018494,18,357.0
815.0,26,247.0,6.024390243902439,2.080329640187071,26,469.0,0.10803195008497046,26,469.0
820.0,32,386.0,8.976744186046512,1.8424710211996305,32,609.0,0.07574610542535958,32,609.0
825.0,37,560.0,12.173913043478262,2.235263319338662,37,785.0,0.1129874169682088,37,785.0
830.0,32,557.0,12.377777777777778,2.184748050745106,32,868.0,0.11668857660088316,32,868.0
835.0,25,439.0,9.977272727272727,3.256988099589452,25,837.0,0.127476034324045,25,837.0
840.0,17,303.0,7.046511627906977,4.369450252177068,17,738.0,0.13786858560747156,17,738.0
845.0,8,139.0,3.475,4.667864889265811,8,743.0,0.19694176462052318,8,743.0
850.0,6,26.0,0.7428571428571429,4.900741514175658,6,759.0,0.19116859466882097,6,759.0
855.0,13,74.0,2.176470588235294,3.3011100545821943,13,807.0,0.14062574492034327,13,807.0
860.0,15,77.0,2.138888888888889,2.419206370179256,15,784.0,0.11907530950945056,15,784.0
865.0,11,51.0,1.3783783783783783,3.51924883563691,11,606.0,0.13048375570936785,11,606.0
870.0,10,42.0,1.024390243902439,5.565941806682383,10,480.0,0.22247483269391777,10,480.0
875.0,7,28.0,0.7368421052631579,5.938695523288647,7,485.0,0.2807602029268822,7,485.0
880.0,7,24.0,0.7058823529411765,5.519572982523412,7,514.0,0.28505010571704764,7,514.0
885.0,13,74.0,2.1142857142857143,4.088457662648031,13,564.0,0.22539528487699823,13,564.0
890.0,20,155.0,3.875,3.1145687713084564,20,646.0,0.19028744046170926,20,646.0
895.0,20,158.0,3.761904761904762,2.3169241178068383,20,648.0,0.1341768361335048,20,648.0
900.0,20,131.0,2.847826086956522,3.609623891162311,20,551.0,0.145008558242279,20,551.0
905.0,17,118.0,2.5652173913043477,5.155913187509529,17,369.0,0.19254282783290794,17,369.0
910.0,6,36.0,0.8181818181818182,5.182433626923352,6,409.0,0.2547059394656966,6,409.0
915.0,8,26.0,0.6341463414634146,5.857381353859611,8,417.0,0.287465118145143,8,417.0
920.0,12,79.0,1.8372093023255813,5.25246302847996,12,469.0,0.22055736019871397,12,469.0
925.0,20,161.0,3.659090909090909,3.7255216706020393,20,551.0,0.14732682016940118,20,551.0
930.0,26,280.0,6.829268292682927,1.8718098602216717,26,670.0,0.06666717284123087,26,670.0
935.0,28,287.0,6.833333333333333,1.2521711371070279,28,703.0,0.04641544577505844,28,703.0
940.0,24,231.0,5.5,3.2529001243750804,24,674.0,0.12496792906157442,24,674.0
945.0,16,174.0,4.046511627906977,5.029742779920882,16,538.0,0.1704381360899532,16,538.0
950.0,6,73.0,1.7804878048780488,5.223807975603642,6,566.0,0.27178381776305427,6,566.0
955.0,6,25.0,0.6578947368421053,5.506017917671825,6,588.0,0.24391934064286078,6,588.0
960.0,13,83.0,2.1842105263157894,4.2015173075990235,13,646.0,0.22377011381987902,13,646.0
965.0,15,85.0,2.073170731707317,3.3404330718930937,15,633.0,0.15638994955819413,15,633.0
970.0,11,50.0,1.1627906976744187,4.835854036600389,11,537.0,0.22959182018993976,11,537.0
975.0,12,40.0,0.9302325581395349,5.432409381809612,12,365.0,0.1782493893494197,12,365.0
980.0,8,31.0,0.775,6.584730988368031,8,251.0,0.2669242834514348,8,251.0
985.0,0,0.0,0.0,7.0625618125017375,0,254.0,0.3858524380822075,0,254.0
990.0,6,18.0,0.5,6.210836456444167,6,254.0,0.3362569652616774,6,254.0
995.0,13,68.0,1.8888888888888888,4.131739372970961,13,304.0,0.17080689177859207,13,304.0
1000.0,13,73.0,1.972972972972973,2.840318265999866,13,305.0,0.13705496631029235,13,305.0
